sample,DF1,DF2,TDF2,CASCADE
192,-0.0014327791,-0.0014325678,-0.0014321750,-0.0014311373
193,-0.0017545008,-0.0017540157,-0.0017540439,-0.0017524213
194,-0.0019485961,-0.0019484758,-0.0019483189,-0.0019462332
195,-0.0020052476,-0.0020051003,-0.0020051687,-0.0020027831
196,-0.0019242303,-0.0019243956,-0.0019243541,-0.0019218251
197,-0.0017146735,-0.0017148256,-0.0017149905,-0.0017124861
198,-0.0013941955,-0.0013944507,-0.0013946826,-0.0013923794
199,-0.0009874834,-0.0009878576,-0.0009881053,-0.0009861477
200,-0.0005244297,-0.0005249232,-0.0005251416,-0.0005236603
201,-0.0000379650,-0.0000385046,-0.0000387160,-0.0000377931
202,0.0004382581,0.0004376322,0.0004375211,0.0004378259
203,0.0008721692,0.0008718371,0.0008714981,0.0008711815
204,0.0012354167,0.0012347996,0.0012348581,0.0012339354
205,0.0015051949,0.0015048385,0.0015047870,0.0015033558
206,0.0016656462,0.0016649961,0.0016654166,0.0016635507
207,0.0017087550,0.0017084181,0.0017087189,0.0017065704
208,0.0016346856,0.0016345084,0.0016348450,0.0016325861
209,0.0014515551,0.0014515519,0.0014518998,0.0014496520
210,0.0011746736,0.0011748374,0.0011751815,0.0011731014
211,0.0008253140,0.0008256733,0.0008259532,0.0008241795
212,0.0004291107,0.0004294813,0.0004298415,0.0004284848
213,0.0000142039,0.0000145733,0.0000149810,0.0000141226
214,-0.0003907374,-0.0003903359,-0.0003899615,-0.0003902726
215,-0.0007584763,-0.0007578135,-0.0007577486,-0.0007575117
216,-0.0010650201,-0.0010645986,-0.0010643834,-0.0010636374
217,-0.0012911638,-0.0012907982,-0.0012906548,-0.0012894347
218,-0.0014236686,-0.0014232099,-0.0014233151,-0.0014217347
219,-0.0014560034,-0.0014556944,-0.0014558230,-0.0014539883
220,-0.0013886119,-0.0013886094,-0.0013886099,-0.0013866648
221,-0.0012286979,-0.0012287199,-0.0012288685,-0.0012269393
222,-0.0009895589,-0.0009896159,-0.0009898851,-0.0009881072
223,-0.0006895213,-0.0006896853,-0.0006899768,-0.0006884634
224,-0.0003505646,-0.0003508776,-0.0003511158,-0.0003499668
225,0.0000032681,0.0000028387,0.0000026597,0.0000033714
226,0.0003475569,0.0003470667,0.0003469321,0.0003471673
227,0.0006591732,0.0006587356,0.0006585724,0.0006583221
228,0.0009178168,0.0009172708,0.0009172771,0.0009165742
229,0.0011073191,0.0011069775,0.0011068727,0.0011057705
230,0.0012166334,0.0012161732,0.0012163050,0.0012148917
231,0.0012404488,0.0012401938,0.0012402546,0.0012386292
232,0.0011794006,0.0011792779,0.0011793477,0.0011776276
233,0.0010398697,0.0010398030,0.0010399565,0.0010382645
234,0.0008333990,0.0008334816,0.0008336147,0.0008320585
235,0.0005757727,0.0005759150,0.0005760994,0.0005747918
236,0.0002858338,0.0002861097,0.0002862466,0.0002852697
237,-0.0000158772,-0.0000155848,-0.0000154078,-0.0000159964
238,-0.0003085613,-0.0003081076,-0.0003080679,-0.0003082231
239,-0.0005725807,-0.0005720705,-0.0005720963,-0.0005718283
240,-0.0007907616,-0.0007903576,-0.0007903173,-0.0007896498
241,-0.0009494954,-0.0009489357,-0.0009491188,-0.0009480976
242,-0.0010395691,-0.0010392964,-0.0010392822,-0.0010379925
243,-0.0010566751,-0.0010562837,-0.0010564933,-0.0010550208
244,-0.0010015739,-0.0010014176,-0.0010015052,-0.0009999573
245,-0.0008799094,-0.0008798838,-0.0008799541,-0.0008784384
246,-0.0007016971,-0.0007017255,-0.0007018480,-0.0007004701
247,-0.0004805289,-0.0004806370,-0.0004807720,-0.0004796237
248,-0.0002325557,-0.0002327561,-0.0002328715,-0.0002320269
249,0.0000246768,0.0000243988,0.0000243120,0.0000248002
250,0.0002734567,0.0002730936,0.0002730688,0.0002731737
251,0.0004971123,0.0004967079,0.0004967280,0.0004964434
252,0.0006811178,0.0006806999,0.0006807623,0.0006801262
253,0.0008140221,0.0008137375,0.0008137184,0.0008127727
254,0.0008881468,0.0008878708,0.0008879132,0.0008867308
255,0.0009000068,0.0008997768,0.0008998567,0.0008985139
256,0.0008504372,0.0008503199,0.0008503781,0.0008489750
257,0.0007444222,0.0007443279,0.0007444557,0.0007430874
258,0.0005906482,0.0005907118,0.0005907696,0.0005895291
259,0.0004008160,0.0004008859,0.0004010145,0.0003999826
260,0.0001887667,0.0001889467,0.0001890265,0.0001882687
261,-0.0000305145,-0.0000302978,-0.0000302129,-0.0000306480
262,-0.0002419461,-0.0002416745,-0.0002416244,-0.0002417117
263,-0.0004313771,-0.0004310384,-0.0004310576,-0.0004308000
264,-0.0005865232,-0.0005862117,-0.0005862275,-0.0005856492
265,-0.0006977519,-0.0006973594,-0.0006974994,-0.0006966405
266,-0.0007586671,-0.0007584393,-0.0007584735,-0.0007573999
267,-0.0007664578,-0.0007661730,-0.0007663346,-0.0007651299
268,-0.0007219944,-0.0007217526,-0.0007219482,-0.0007206872
269,-0.0006296730,-0.0006295294,-0.0006297051,-0.0006284770
270,-0.0004970236,-0.0004969835,-0.0004971304,-0.0004960187
271,-0.0003341168,-0.0003341362,-0.0003342897,-0.0003333678
272,-0.0001528124,-0.0001529083,-0.0001530388,-0.0001523653
273,0.0000340929,0.0000339225,0.0000338290,0.0000342126
274,0.0002137590,0.0002135597,0.0002134755,0.0002135504
275,0.0003741761,0.0003738999,0.0003738917,0.0003736578
276,0.0005049575,0.0005046949,0.0005046906,0.0005041696
277,0.0005980028,0.0005977303,0.0005977703,0.0005970038
278,0.0006479878,0.0006477237,0.0006478041,0.0006468520
279,0.0006526526,0.0006524026,0.0006525286,0.0006514527
280,0.0006128744,0.0006126463,0.0006128170,0.0006116945
281,0.0005325257,0.0005323291,0.0005325372,0.0005314425
282,0.0004181319,0.0004179925,0.0004182102,0.0004172195
283,0.0002783585,0.0002782941,0.0002784971,0.0002776738
284,0.0001233659,0.0001233481,0.0001235550,0.0001229476
285,-0.0000359198,-0.0000359016,-0.0000356930,-0.0000360482
286,-0.0001885686,-0.0001884624,-0.0001883190,-0.0001884056
287,-0.0003243895,-0.0003242567,-0.0003241329,-0.0003239494
288,-0.0004346025,-0.0004343837,-0.0004343549,-0.0004339237
289,-0.0005123981,-0.0005122721,-0.0005121746,-0.0005115308
290,-0.0005533478,-0.0005531460,-0.0005531611,-0.0005523562
291,-0.0005556417,-0.0005554706,-0.0005555020,-0.0005545933
292,-0.0005201428,-0.0005199909,-0.0005200567,-0.0005191080
293,-0.0004502579,-0.0004501045,-0.0004502281,-0.0004493110
294,-0.0003516388,-0.0003515482,-0.0003516644,-0.0003508348
295,-0.0002317400,-0.0002316609,-0.0002318161,-0.0002311319
296,-0.0000992642,-0.0000992306,-0.0000993829,-0.0000988897
297,0.0000364611,0.0000364515,0.0000363100,0.0000365861
298,0.0001661335,0.0001660828,0.0001659621,0.0001659980
299,0.0002811066,0.0002809837,0.0002809279,0.0002807342
300,0.0003739604,0.0003738999,0.0003737871,0.0003733784
301,0.0004389723,0.0004388988,0.0004388162,0.0004382227
302,0.0004724613,0.0004723668,0.0004723324,0.0004716031
303,0.0004729837,0.0004728585,0.0004728897,0.0004720744
304,0.0004413728,0.0004412979,0.0004413188,0.0004404709
305,0.0003806220,0.0003805533,0.0003806100,0.0003797933
306,0.0002956247,0.0002955720,0.0002956536,0.0002949219
307,0.0001927916,0.0001927912,0.0001928577,0.0001922599
308,0.0000795759,0.0000796095,0.0000796730,0.0000792472
309,-0.0000360605,-0.0000360056,-0.0000359408,-0.0000361679
310,-0.0001462013,-0.0001461133,-0.0001460683,-0.0001460854
311,-0.0002435117,-0.0002433620,-0.0002433756,-0.0002431832
312,-0.0003217216,-0.0003216118,-0.0003215924,-0.0003212076
313,-0.0003760232,-0.0003759488,-0.0003759101,-0.0003753621
314,-0.0004033590,-0.0004032403,-0.0004032698,-0.0004025996
315,-0.0004025832,-0.0004024804,-0.0004025236,-0.0004017763
316,-0.0003744893,-0.0003743768,-0.0003744627,-0.0003736932
317,-0.0003217052,-0.0003215894,-0.0003217126,-0.0003209710
318,-0.0002484662,-0.0002484024,-0.0002485061,-0.0002478426
319,-0.0001602851,-0.0001602359,-0.0001603538,-0.0001598108
320,-0.0000635440,-0.0000635181,-0.0000636359,-0.0000632461
321,0.0000349620,0.0000349701,0.0000348537,0.0000350671
322,0.0001284968,0.0001284964,0.0001283802,0.0001284089
323,0.0002108398,0.0002108254,0.0002107229,0.0002105720
324,0.0002766940,0.0002766997,0.0002765851,0.0002762638
325,0.0003220222,0.0003219619,0.0003219283,0.0003214665
326,0.0003442873,0.0003442690,0.0003442142,0.0003436487
327,0.0003425852,0.0003425479,0.0003425370,0.0003419053
328,0.0003176634,0.0003176555,0.0003176419,0.0003169905
329,0.0002718263,0.0002718270,0.0002718316,0.0002712067
330,0.0002087379,0.0002087504,0.0002087681,0.0002082130
331,0.0001331371,0.0001331680,0.0001331884,0.0001327381
332,0.0000504876,0.0000505149,0.0000505551,0.0000502397
333,-0.0000334120,-0.0000333477,-0.0000333345,-0.0000334955
334,-0.0001128311,-0.0001127906,-0.0001127504,-0.0001127496
335,-0.0001824947,-0.0001824349,-0.0001824173,-0.0001822561
336,-0.0002379288,-0.0002378859,-0.0002378611,-0.0002375543
337,-0.0002757442,-0.0002756938,-0.0002756913,-0.0002752645
338,-0.0002938370,-0.0002937838,-0.0002938029,-0.0002932847
339,-0.0002914986,-0.0002914965,-0.0002914855,-0.0002909163
340,-0.0002694260,-0.0002694055,-0.0002694346,-0.0002688514
341,-0.0002296382,-0.0002296269,-0.0002296676,-0.0002291119
342,-0.0001753039,-0.0001753084,-0.0001753516,-0.0001748605
343,-0.0001104961,-0.0001105145,-0.0001105585,-0.0001101643
344,-0.0000398918,-0.0000399109,-0.0000399643,-0.0000396925
345,0.0000315615,0.0000315238,0.0000314844,0.0000316165
346,0.0000989893,0.0000989400,0.0000989129,0.0000989004
347,0.0001579187,0.0001578666,0.0001578483,0.0001576943
348,0.0002045718,0.0002045147,0.0002045122,0.0002042269
349,0.0002361039,0.0002360344,0.0002360590,0.0002356675
350,0.0002507722,0.0002507344,0.0002507446,0.0002502725
351,0.0002480249,0.0002480075,0.0002480161,0.0002474971
352,0.0002285075,0.0002284572,0.0002285176,0.0002279887
353,0.0001939872,0.0001939759,0.0001940150,0.0001935102
354,0.0001472034,0.0001471862,0.0001472467,0.0001468007
355,0.0000916565,0.0000916533,0.0000917119,0.0000913530
356,0.0000313495,0.0000313520,0.0000314128,0.0000311635
357,-0.0000294970,-0.0000294968,-0.0000294302,-0.0000295565
358,-0.0000867365,-0.0000867322,-0.0000866711,-0.0000866679
359,-0.0001365773,-0.0001365542,-0.0001365176,-0.0001363903
360,-0.0001758296,-0.0001758374,-0.0001757797,-0.0001755375
361,-0.0002021069,-0.0002020746,-0.0002020700,-0.0002017329
362,-0.0002139666,-0.0002139769,-0.0002139452,-0.0002135383
363,-0.0002109832,-0.0002110042,-0.0002109785,-0.0002105311
364,-0.0001937506,-0.0001937523,-0.0001937626,-0.0001933062
365,-0.0001638144,-0.0001638420,-0.0001638421,-0.0001634080
366,-0.0001235424,-0.0001235791,-0.0001235836,-0.0001232005
367,-0.0000759419,-0.0000759810,-0.0000759936,-0.0000756870
368,-0.0000244386,-0.0000244817,-0.0000244972,-0.0000242861
369,0.0000273671,0.0000273228,0.0000273056,0.0000274100
370,0.0000759490,0.0000759056,0.0000758888,0.0000758814
371,0.0001180930,0.0001180544,0.0001180380,0.0001179222
372,0.0001511067,0.0001510903,0.0001510603,0.0001508463
373,0.0001729887,0.0001729690,0.0001729538,0.0001726588
374,0.0001825463,0.0001825280,0.0001825250,0.0001821714
375,0.0001794554,0.0001794770,0.0001794484,0.0001790617
376,0.0001642591,0.0001642480,0.0001642664,0.0001638755
377,0.0001383083,0.0001383312,0.0001383289,0.0001379587
378,0.0001036488,0.0001036860,0.0001036806,0.0001033572
379,0.0000628637,0.0000629127,0.0000629041,0.0000626489
380,0.0000188841,0.0000189422,0.0000189299,0.0000187596
381,-0.0000252192,-0.0000251592,-0.0000251715,-0.0000252479
382,-0.0000664480,-0.0000663884,-0.0000664018,-0.0000663791
383,-0.0001020781,-0.0001020189,-0.0001020369,-0.0001019198
384,-0.0001298375,-0.0001297817,-0.0001298040,-0.0001296019
385,-0.0001480484,-0.0001480021,-0.0001480250,-0.0001477534
386,-0.0001557258,-0.0001556762,-0.0001557137,-0.0001553912
387,-0.0001526258,-0.0001526289,-0.0001526256,-0.0001522768
388,-0.0001392428,-0.0001392365,-0.0001392543,-0.0001389021
389,-0.0001167566,-0.0001167580,-0.0001167785,-0.0001164479
390,-0.0000869339,-0.0000869595,-0.0000869645,-0.0000866777
391,-0.0000519933,-0.0000520255,-0.0000520302,-0.0000518060
392,-0.0000144422,-0.0000144877,-0.0000144828,-0.0000143351
393,0.0000231004,0.0000230502,0.0000230591,0.0000231212
394,0.0000580855,0.0000580307,0.0000580462,0.0000580209
395,0.0000882045,0.0000881460,0.0000881698,0.0000880589
396,0.0001115403,0.0001114924,0.0001115125,0.0001113261
397,0.0001266871,0.0001266338,0.0001266677,0.0001264196
398,0.0001328318,0.0001327880,0.0001328220,0.0001325314
399,0.0001297944,0.0001297481,0.0001297945,0.0001294799
400,0.0001180231,0.0001180023,0.0001180327,0.0001177164
401,0.0000985472,0.0000985265,0.0000985653,0.0000982699
402,0.0000728923,0.0000728853,0.0000729174,0.0000726618
403,0.0000429633,0.0000429722,0.0000429935,0.0000427945
404,0.0000109052,0.0000109267,0.0000109383,0.0000108082
405,-0.0000210488,-0.0000210158,-0.0000210153,-0.0000210693
406,-0.0000507316,-0.0000506919,-0.0000507000,-0.0000506751
407,-0.0000761874,-0.0000761319,-0.0000761597,-0.0000760597
408,-0.0000957987,-0.0000957623,-0.0000957770,-0.0000956096
409,-0.0001083879,-0.0001083352,-0.0001083735,-0.0001081512
410,-0.0001132851,-0.0001132526,-0.0001132789,-0.0001130183
411,-0.0001103602,-0.0001103170,-0.0001103627,-0.0001100819
412,-0.0001000181,-0.0000999998,-0.0001000292,-0.0000997470
413,-0.0000831564,-0.0000831280,-0.0000831754,-0.0000829110
414,-0.0000610921,-0.0000610799,-0.0000611177,-0.0000608882
415,-0.0000354604,-0.0000354582,-0.0000354912,-0.0000353112
416,-0.0000080961,-0.0000081067,-0.0000081301,-0.0000080103
417,0.0000190971,0.0000190800,0.0000190618,0.0000191148
418,0.0000442770,0.0000442471,0.0000442423,0.0000442266
419,0.0000657866,0.0000657495,0.0000657547,0.0000656731
420,0.0000822622,0.0000822321,0.0000822347,0.0000820952
421,0.0000927173,0.0000926815,0.0000926958,0.0000925087
422,0.0000966007,0.0000965763,0.0000965862,0.0000963653
423,0.0000938218,0.0000937879,0.0000938151,0.0000935760
424,0.0000847448,0.0000847206,0.0000847461,0.0000845059
425,0.0000701520,0.0000701323,0.0000701612,0.0000699363
426,0.0000511797,0.0000511669,0.0000511963,0.0000510011
427,0.0000292317,0.0000292277,0.0000292545,0.0000291017
428,0.0000058769,0.0000058780,0.0000059045,0.0000058033
429,-0.0000172617,-0.0000172472,-0.0000172311,-0.0000172749
430,-0.0000386185,-0.0000386005,-0.0000385866,-0.0000385721
431,-0.0000567901,-0.0000567697,-0.0000567589,-0.0000566882
432,-0.0000706264,-0.0000706036,-0.0000705977,-0.0000704778
433,-0.0000793020,-0.0000792723,-0.0000792775,-0.0000791168
434,-0.0000823637,-0.0000823382,-0.0000823449,-0.0000821557
435,-0.0000797517,-0.0000797193,-0.0000797394,-0.0000795354
