sample,DF1,DF2,TDF2,CASCADE
113,0.0054728126,0.0054728126,0.0054728126,0.0054728126
114,0.0045904146,0.0045904146,0.0045904146,0.0045904146
115,0.0034195483,0.0034195483,0.0034195483,0.0034195483
116,0.0020473421,0.0020473421,0.0020473421,0.0020473421
117,0.0005722978,0.0005722978,0.0005722978,0.0005722978
118,-0.0009026980,-0.0009026980,-0.0009026980,-0.0009026980
119,-0.0022774764,-0.0022774764,-0.0022774764,-0.0022774764
120,-0.0034613166,-0.0034613166,-0.0034613166,-0.0034613166
121,-0.0043788574,-0.0043788574,-0.0043788574,-0.0043788574
122,-0.0049748100,-0.0049748100,-0.0049748100,-0.0049748100
123,-0.0052171826,-0.0052171826,-0.0052171826,-0.0052171826
124,-0.0050988392,-0.0050988392,-0.0050988392,-0.0050988392
125,-0.0046373285,-0.0046373285,-0.0046373285,-0.0046373285
126,-0.0038730411,-0.0038730411,-0.0038730411,-0.0038730411
127,-0.0028658647,-0.0028658647,-0.0028658647,-0.0028658647
128,-0.0016906025,-0.0016906025,-0.0016906025,-0.0016906025
129,-0.0004315005,-0.0004315005,-0.0004315005,-0.0004315005
130,0.0008237226,0.0008237226,0.0008237226,0.0008237226
131,0.0019899245,0.0019899245,0.0019899245,0.0019899245
132,0.0029902528,0.0029902528,0.0029902528,0.0029902528
133,0.0037611456,0.0037611456,0.0037611456,0.0037611456
134,0.0042562982,0.0042562982,0.0042562982,0.0042562982
135,0.0044493519,0.0044493519,0.0044493519,0.0044493519
136,0.0043351589,0.0043351589,0.0043351589,0.0043351589
137,0.0039295721,0.0039295721,0.0039295721,0.0039295721
138,0.0032678155,0.0032678155,0.0032678155,0.0032678155
139,0.0024015813,0.0024015813,0.0024015813,0.0024015813
140,0.0013950852,0.0013950852,0.0013950852,0.0013950852
141,0.0003203754,0.0003203754,0.0003203754,0.0003203754
142,-0.0007477664,-0.0007477664,-0.0007477664,-0.0007477664
143,-0.0017369759,-0.0017369759,-0.0017369759,-0.0017369759
144,-0.0025821562,-0.0025821562,-0.0025821562,-0.0025821562
145,-0.0032297076,-0.0032297076,-0.0032297076,-0.0032297076
146,-0.0036408639,-0.0036408639,-0.0036408639,-0.0036408639
147,-0.0037939346,-0.0037939346,-0.0037939346,-0.0037939346
148,-0.0036853271,-0.0036853271,-0.0036853271,-0.0036853271
149,-0.0033293143,-0.0033293143,-0.0033293143,-0.0033293143
150,-0.0027565941,-0.0027565941,-0.0027565941,-0.0027565941
151,-0.0020117715,-0.0020117715,-0.0020117715,-0.0020117715
152,-0.0011499636,-0.0011499636,-0.0011499636,-0.0011499636
153,-0.0002327788,-0.0002327788,-0.0002327788,-0.0002327788
154,0.0006760377,0.0006760377,0.0006760377,0.0006760377
155,0.0015149892,0.0015149892,0.0015149892,0.0015149892
156,0.0022289447,0.0022289447,0.0022289447,0.0022289447
157,0.0027727145,0.0027727145,0.0027727145,0.0027727145
158,0.0031138576,0.0031138576,0.0031138576,0.0031138576
159,0.0032345482,0.0032345482,0.0032345482,0.0032345482
160,0.0031324013,0.0031324013,0.0031324013,0.0031324013
161,0.0028202275,0.0028202275,0.0028202275,0.0028202275
162,0.0023247627,0.0023247627,0.0023247627,0.0023247627
163,0.0016844850,0.0016844850,0.0016844850,0.0016844850
164,0.0009466926,0.0009466926,0.0009466926,0.0009466926
165,0.0001640591,0.0001640591,0.0001640591,0.0001640591
166,-0.0006090854,-0.0006090854,-0.0006090854,-0.0006090854
167,-0.0013204870,-0.0013204870,-0.0013204870,-0.0013204870
168,-0.0019234624,-0.0019234624,-0.0019234624,-0.0019234624
169,-0.0023799220,-0.0023799220,-0.0023799220,-0.0023799220
170,-0.0026627298,-0.0026627298,-0.0026627298,-0.0026627298
171,-0.0027572582,-0.0027572582,-0.0027572582,-0.0027572582
172,-0.0026620506,-0.0026620506,-0.0026620506,-0.0026620506
173,-0.0023885740,-0.0023885740,-0.0023885740,-0.0023885740
174,-0.0019600992,-0.0019600992,-0.0019600992,-0.0019600992
175,-0.0014098096,-0.0014098096,-0.0014098096,-0.0014098096
176,-0.0007782860,-0.0007782860,-0.0007782860,-0.0007782860
177,-0.0001105563,-0.0001105563,-0.0001105563,-0.0001105563
178,0.0005470799,0.0005470799,0.0005470799,0.0005470799
179,0.0011502289,0.0011502289,0.0011502289,0.0011502289
180,0.0016593674,0.0016593674,0.0016593674,0.0016593674
181,0.0020423980,0.0020423980,0.0020423980,0.0020423980
182,0.0022766336,0.0022766336,0.0022766336,0.0022766336
183,0.0023500895,0.0023500895,0.0023500895,0.0023500895
184,0.0022620155,0.0022620155,0.0022620155,0.0022620155
185,0.0020226505,0.0020226505,0.0020226505,0.0020226505
186,0.0016522378,0.0016522378,0.0016522378,0.0016522378
187,0.0011793864,0.0011793864,0.0011793864,0.0011793864
188,0.0006389075,0.0006389075,0.0006389075,0.0006389075
189,0.0000692876,0.0000692876,0.0000692876,0.0000692876
190,-0.0004900225,-0.0004900225,-0.0004900225,-0.0004900225
191,-0.0010013120,-0.0010013120,-0.0010013120,-0.0010013120
192,-0.0014311254,-0.0014311254,-0.0014311254,-0.0014311254
193,-0.0017524218,-0.0017524218,-0.0017524218,-0.0017524218
194,-0.0019462427,-0.0019462427,-0.0019462427,-0.0019462427
195,-0.0020027859,-0.0020027859,-0.0020027859,-0.0020027859
196,-0.0019218304,-0.0019218304,-0.0019218304,-0.0019218304
197,-0.0017124980,-0.0017124980,-0.0017124980,-0.0017124980
198,-0.0013923886,-0.0013923886,-0.0013923886,-0.0013923886
199,-0.0009861607,-0.0009861607,-0.0009861607,-0.0009861607
200,-0.0005236711,-0.0005236711,-0.0005236711,-0.0005236711
201,-0.0000378103,-0.0000378103,-0.0000378103,-0.0000378103
202,0.0004378109,0.0004378109,0.0004378109,0.0004378109
203,0.0008711634,0.0008711634,0.0008711634,0.0008711634
204,0.0012339324,0.0012339324,0.0012339324,0.0012339324
