sample,DF1,DF2,TDF2,CASCADE
0,0.0952148438,0.0952148438,0.0952148438,0.0952148438
1,0.0034179688,0.0031738281,0.0034179688,0.0034179688
2,0.0268554688,-0.5021972656,0.0268554688,0.0263671875
3,0.0458984375,0.8432617188,0.0458984375,0.0439453125
4,0.0617675781,-0.1992187500,0.0617675781,0.0571289062
5,0.0759277344,-0.9951171875,0.0759277344,0.0668945312
6,0.0898437500,1.5620117188,0.0898437500,0.0729980469
7,0.1049804688,-1.0993652344,0.1049804688,0.0764160156
8,0.1225585938,0.1738281250,0.1225585938,0.0776367188
9,0.1433105469,0.8020019531,0.1433105469,0.0773925781
10,0.1674804688,-1.2167968750,0.1674804688,0.0751953125
11,0.1948242188,0.8415527344,0.1948242188,0.0717773438
12,0.2243652344,0.0344238281,0.2243652344,0.0673828125
13,0.2546386719,-0.8432617188,0.2546386719,0.0615234375
14,0.2839355469,1.1325683594,0.2839355469,0.0546875000
15,0.3105468750,-0.6906738281,0.3105468750,0.0471191406
16,0.3330078125,-0.0109863281,0.3330078125,0.0388183594
17,0.3500976562,0.6823730469,0.3500976562,0.0297851562
18,0.3605957031,-0.8779296875,0.3605957031,0.0205078125
19,0.3632812500,0.5620117188,0.3632812500,0.0114746094
20,0.3576660156,0.0249023438,0.3576660156,0.0029296875
21,0.3435058594,-0.5222167969,0.3435058594,-0.0056152344
22,0.3210449219,0.7097167969,0.3210449219,-0.0131835938
23,0.2912597656,-0.4270019531,0.2912597656,-0.0197753906
24,0.2556152344,-0.0034179688,0.2556152344,-0.0249023438
25,0.2163085938,0.4284667969,0.2163085938,-0.0288085938
26,0.1757812500,-0.5437011719,0.1757812500,-0.0305175781
27,0.1367187500,0.3537597656,0.1367187500,-0.0310058594
28,0.1018066406,0.0190429688,0.1018066406,-0.0295410156
29,0.0732421875,-0.3220214844,0.0732421875,-0.0273437500
30,0.0529785156,0.4455566406,0.0529785156,-0.0231933594
31,0.0422363281,-0.2626953125,0.0422363281,-0.0187988281
32,0.0415039062,0.0017089844,0.0415039062,-0.0129394531
33,0.0507812500,0.2707519531,0.0507812500,-0.0073242188
34,0.0693359375,-0.3354492188,0.0693359375,-0.0014648438
35,0.0959472656,0.2238769531,0.0959472656,0.0041503906
36,0.1286621094,0.0153808594,0.1286621094,0.0087890625
37,0.1650390625,-0.1975097656,0.1650390625,0.0129394531
38,0.2023925781,0.2814941406,0.2023925781,0.0156250000
39,0.2382812500,-0.1604003906,0.2382812500,0.0170898438
40,0.2702636719,0.0043945312,0.2702636719,0.0170898438
41,0.2963867188,0.1723632812,0.2963867188,0.0166015625
42,0.3151855469,-0.2055664062,0.3151855469,0.0144042969
43,0.3256835938,0.1430664062,0.3256835938,0.0117187500
44,0.3271484375,0.0129394531,0.3271484375,0.0080566406
45,0.3195800781,-0.1193847656,0.3195800781,0.0043945312
46,0.3034667969,0.1787109375,0.3034667969,0.0002441406
47,0.2797851562,-0.0964355469,0.2797851562,-0.0034179688
48,0.2500000000,0.0061035156,0.2500000000,-0.0070800781
49,0.2158203125,0.1110839844,0.2158203125,-0.0097656250
50,0.1794433594,-0.1250000000,0.1794433594,-0.0114746094
51,0.1433105469,0.0925292969,0.1433105469,-0.0124511719
52,0.1098632812,0.0117187500,0.1098632812,-0.0126953125
53,0.0815429688,-0.0712890625,0.0815429688,-0.0117187500
54,0.0603027344,0.1149902344,0.0603027344,-0.0102539062
55,0.0478515625,-0.0566406250,0.0478515625,-0.0078125000
56,0.0451660156,0.0073242188,0.0451660156,-0.0051269531
57,0.0524902344,0.0725097656,0.0524902344,-0.0017089844
58,0.0693359375,-0.0742187500,0.0693359375,0.0012207031
59,0.0947265625,0.0615234375,0.0947265625,0.0046386719
60,0.1269531250,0.0104980469,0.1269531250,0.0070800781
61,0.1638183594,-0.0407714844,0.1638183594,0.0090332031
62,0.2028808594,0.0749511719,0.2028808594,0.0104980469
63,0.2416992188,-0.0317382812,0.2416992188,0.0112304688
64,0.2778320312,0.0078125000,0.2778320312,0.0109863281
65,0.3090820312,0.0488281250,0.3090820312,0.0102539062
66,0.3334960938,-0.0432128906,0.3334960938,0.0085449219
67,0.3496093750,0.0415039062,0.3496093750,0.0063476562
68,0.3566894531,0.0100097656,0.3566894531,0.0039062500
69,0.3547363281,-0.0219726562,0.3547363281,0.0012207031
70,0.3442382812,0.0502929688,0.3442382812,-0.0014648438
71,0.3261718750,-0.0163574219,0.3261718750,-0.0043945312
72,0.3020019531,0.0085449219,0.3020019531,-0.0065917969
73,0.2734375000,0.0339355469,0.2734375000,-0.0080566406
74,0.2424316406,-0.0234375000,0.2424316406,-0.0092773438
75,0.2111816406,0.0292968750,0.2111816406,-0.0097656250
76,0.1818847656,0.0095214844,0.1818847656,-0.0095214844
77,0.1562500000,-0.0102539062,0.1562500000,-0.0087890625
