sample,DF1,DF2,TDF2,CASCADE
43,0.0118790269,0.3207503557,0.0118790269,0.0118040442
44,0.0083686709,0.0706117749,0.0083686709,0.0082953572
45,0.0044561028,0.2177366614,0.0044561028,0.0043859482
46,0.0004245639,0.1107948422,0.0004245639,0.0003587008
47,-0.0034461617,0.0278515816,-0.0034461617,-0.0035068989
48,-0.0068980455,0.2253759503,-0.0068980455,-0.0069532394
49,-0.0097110271,0.1091973782,-0.0097110271,-0.0097606778
50,-0.0117163658,0.1936451197,-0.0117163658,-0.0117610097
51,-0.0128061771,0.2591419816,-0.0128061771,-0.0128465295
52,-0.0129385591,0.1031649709,-0.0129385591,-0.0129756927
53,-0.0121381879,0.1949064136,-0.0121381879,-0.0121734142
54,-0.0104926229,0.1282215714,-0.0104926229,-0.0105273128
55,-0.0081441998,0.0765011907,-0.0081441998,-0.0081797242
56,-0.0052788258,0.1996700168,-0.0052788258,-0.0053164959
57,-0.0021119118,0.1272253990,-0.0021119118,-0.0021527410
58,0.0011271834,0.1798838973,0.0011271834,0.0010823011
59,0.0042110682,0.2207253575,0.0042110682,0.0041617155
60,0.0069298148,0.1234637499,0.0069298148,0.0068758130
61,0.0091047287,0.1806704998,0.0091047287,0.0090464354
62,0.0105996132,0.1390882134,0.0105996132,0.0105376244
63,0.0113288760,0.1068373322,0.0113288760,0.0112639666
64,0.0112618804,0.1836408973,0.0112618804,0.0111953020
65,0.0104234219,0.1384671330,0.0104234219,0.0103564858
66,0.0088906288,0.1713029146,0.0088906288,0.0088248253
67,0.0067861676,0.1967701316,0.0067861676,0.0067228675
68,0.0042687058,0.1361215115,0.0042687058,0.0042092800
69,0.0015209913,0.1717933416,0.0015209913,0.0014662743
70,-0.0012632608,0.1458641887,-0.0012632608,-0.0013124943
71,-0.0038928986,0.1257538199,-0.0038928986,-0.0039361119
72,-0.0061922669,0.1736456752,-0.0061922669,-0.0062293410
73,-0.0080127716,0.1454769373,-0.0080127716,-0.0080437660
74,-0.0092422366,0.1659521461,-0.0092422366,-0.0092678666
75,-0.0098115802,0.1818325520,-0.0098115802,-0.0098327994
76,-0.0096985102,0.1440142393,-0.0096985102,-0.0097165704
77,-0.0089277625,0.1662580371,-0.0089277625,-0.0089443326
78,-0.0075682402,0.1500895023,-0.0075682402,-0.0075849891
79,-0.0057271719,0.1375494003,-0.0057271719,-0.0057458282
80,-0.0035417676,0.1674129367,-0.0035417676,-0.0035638809
81,-0.0011690855,0.1498480439,-0.0011690855,-0.0011960864
82,0.0012251139,0.1626155972,0.0012251139,0.0011920929
83,0.0034779310,0.1725180149,0.0034779310,0.0034379959
84,0.0054402947,0.1489359736,0.0054402947,0.0053930283
85,0.0069866776,0.1628063321,0.0069866776,0.0069319010
86,0.0080229640,0.1527243257,0.0080229640,0.0079610944
87,0.0084921122,0.1449047923,0.0084921122,0.0084240437
88,0.0083770752,0.1635264754,0.0083770752,0.0083039999
89,0.0077008605,0.1525736451,0.0077008605,0.0076242685
90,0.0065239668,0.1605350375,0.0065239668,0.0064457059
91,0.0049393177,0.1667098403,0.0049393177,0.0048611760
92,0.0030651093,0.1520048976,0.0030651093,0.0029889345
93,0.0010361075,0.1606539488,0.0010361075,0.0009634495
94,-0.0010060072,0.1543671489,-0.0010060072,-0.0010737777
95,-0.0029223561,0.1494911909,-0.0029223561,-0.0029842257
96,-0.0045862794,0.1611030698,-0.0045862794,-0.0046416521
97,-0.0058915615,0.1542732716,-0.0058915615,-0.0059403181
98,-0.0067591071,0.1592376828,-0.0067591071,-0.0068013072
99,-0.0071415901,0.1630880833,-0.0071415901,-0.0071780682
100,-0.0070258379,0.1539186835,-0.0070258379,-0.0070576072
101,-0.0064327717,0.1593118906,-0.0064327717,-0.0064612627
102,-0.0054152012,0.1553916931,-0.0054152012,-0.0054421425
103,-0.0040534139,0.1523512006,-0.0040534139,-0.0040806532
104,-0.0024489760,0.1595919132,-0.0024489760,-0.0024780035
105,-0.0007172227,0.1553331017,-0.0007172227,-0.0007495880
106,0.0010209084,0.1584287882,0.0010209084,0.0009838939
107,0.0026472211,0.1608296037,0.0026472211,0.0026047826
108,0.0040541887,0.1551120281,0.0040541887,0.0040057898
