filter_name,type,structure,cutoff,order,time_seconds
cheby1,float,DF2,2000,8,0.683912
cheby1,float,TDF2,2000,8,0.129670
cheby1,double,DF1,5000,8,0.761287
cheby1,double,DF2,5000,8,0.521147
cheby1,double,TDF2,5000,8,0.131927
cheby1,float,DF1,5000,8,0.753702
cheby1,float,DF2,5000,8,0.683768
cheby1,float,TDF2,5000,8,0.131488
cheby2,double,DF1,1000,2,0.206758
cheby2,double,DF2,1000,2,0.233925
cheby2,double,TDF2,1000,2,0.137481
cheby2,float,DF1,1000,2,0.201299
cheby2,float,DF2,1000,2,0.225089
cheby2,float,TDF2,1000,2,0.137161
cheby2,double,DF1,2000,2,0.207035
cheby2,double,DF2,2000,2,0.231025
cheby2,double,TDF2,2000,2,0.138042
cheby2,float,DF1,2000,2,0.200279
cheby2,float,DF2,2000,2,0.225428
cheby2,float,TDF2,2000,2,0.137526
cheby2,double,DF1,5000,2,0.206942
cheby2,double,DF2,5000,2,0.232368
cheby2,double,TDF2,5000,2,0.138895
cheby2,float,DF1,5000,2,0.198722
cheby2,float,DF2,5000,2,0.224960
cheby2,float,TDF2,5000,2,0.136933
cheby2,double,DF1,1000,4,0.380144
cheby2,double,DF2,1000,4,0.326093
cheby2,double,TDF2,1000,4,0.120629
cheby2,float,DF1,1000,4,0.382133
cheby2,float,DF2,1000,4,0.386976
cheby2,float,TDF2,1000,4,0.121080
cheby2,double,DF1,2000,4,0.380172
cheby2,double,DF2,2000,4,0.326451
cheby2,double,TDF2,2000,4,0.120821
cheby2,float,DF1,2000,4,0.381986
cheby2,float,DF2,2000,4,0.386674
cheby2,float,TDF2,2000,4,0.121304
cheby2,double,DF1,5000,4,0.381228
cheby2,double,DF2,5000,4,0.325574
cheby2,double,TDF2,5000,4,0.121481
cheby2,float,DF1,5000,4,0.382239
cheby2,float,DF2,5000,4,0.387045
cheby2,float,TDF2,5000,4,0.121743
cheby2,double,DF1,1000,6,0.583926
cheby2,double,DF2,1000,6,0.421354
cheby2,double,TDF2,1000,6,0.115818
cheby2,float,DF1,1000,6,0.571871
cheby2,float,DF2,1000,6,0.533920
cheby2,float,TDF2,1000,6,0.114086
cheby2,double,DF1,2000,6,0.582578
cheby2,double,DF2,2000,6,0.421854
cheby2,double,TDF2,2000,6,0.114942
cheby2,float,DF1,2000,6,0.571676
cheby2,float,DF2,2000,6,0.535292
cheby2,float,TDF2,2000,6,0.114829
cheby2,double,DF1,5000,6,0.581895
cheby2,double,DF2,5000,6,0.421010
cheby2,double,TDF2,5000,6,0.116248
cheby2,float,DF1,5000,6,0.572592
cheby2,float,DF2,5000,6,0.532707
cheby2,float,TDF2,5000,6,0.114924
cheby2,double,DF1,1000,8,0.759622
cheby2,double,DF2,1000,8,0.520957
cheby2,double,TDF2,1000,8,0.131046
cheby2,float,DF1,1000,8,0.754830
cheby2,float,DF2,1000,8,0.694100
cheby2,float,TDF2,1000,8,0.129550
cheby2,double,DF1,2000,8,0.760468
cheby2,double,DF2,2000,8,0.520383
cheby2,double,TDF2,2000,8,0.131074
cheby2,float,DF1,2000,8,0.755197
cheby2,float,DF2,2000,8,0.682913
cheby2,float,TDF2,2000,8,0.129571
cheby2,double,DF1,5000,8,0.760819
cheby2,double,DF2,5000,8,0.520148
cheby2,double,TDF2,5000,8,0.131563
cheby2,float,DF1,5000,8,0.753554
cheby2,float,DF2,5000,8,0.683479
cheby2,float,TDF2,5000,8,0.129495
ellip,double,DF1,1000,2,0.206129
ellip,double,DF2,1000,2,0.231410
ellip,double,TDF2,1000,2,0.137600
ellip,float,DF1,1000,2,0.198438
ellip,float,DF2,1000,2,0.225324
ellip,float,TDF2,1000,2,0.137657
ellip,double,DF1,2000,2,0.205989
ellip,double,DF2,2000,2,0.230933
ellip,double,TDF2,2000,2,0.137304
ellip,float,DF1,2000,2,0.200336
ellip,float,DF2,2000,2,0.224956
ellip,float,TDF2,2000,2,0.137917
ellip,double,DF1,5000,2,0.206243
ellip,double,DF2,5000,2,0.231494
ellip,double,TDF2,5000,2,0.137289
ellip,float,DF1,5000,2,0.198916
ellip,float,DF2,5000,2,0.224405
ellip,float,TDF2,5000,2,0.137329
ellip,double,DF1,1000,4,0.379671
ellip,double,DF2,1000,4,0.325189
ellip,double,TDF2,1000,4,0.121673
ellip,float,DF1,1000,4,0.383665
ellip,float,DF2,1000,4,0.388534
ellip,float,TDF2,1000,4,0.121790
ellip,double,DF1,2000,4,0.380592
ellip,double,DF2,2000,4,0.325137
ellip,double,TDF2,2000,4,0.121234
ellip,float,DF1,2000,4,0.382176
ellip,float,DF2,2000,4,0.387505
ellip,float,TDF2,2000,4,0.121259
ellip,double,DF1,5000,4,0.381368
ellip,double,DF2,5000,4,0.325668
ellip,double,TDF2,5000,4,0.121293
ellip,float,DF1,5000,4,0.381983
ellip,float,DF2,5000,4,0.387413
ellip,float,TDF2,5000,4,0.121070
ellip,double,DF1,1000,6,0.582346
ellip,double,DF2,1000,6,0.421188
ellip,double,TDF2,1000,6,0.114736
ellip,float,DF1,1000,6,0.572428
ellip,float,DF2,1000,6,0.535143
ellip,float,TDF2,1000,6,0.114508
ellip,double,DF1,2000,6,0.583179
ellip,double,DF2,2000,6,0.421698
ellip,double,TDF2,2000,6,0.114297
ellip,float,DF1,2000,6,0.572761
ellip,float,DF2,2000,6,0.533798
ellip,float,TDF2,2000,6,0.114654
ellip,double,DF1,5000,6,0.582794
ellip,double,DF2,5000,6,0.421967
ellip,double,TDF2,5000,6,0.114793
ellip,float,DF1,5000,6,0.572251
ellip,float,DF2,5000,6,0.533992
ellip,float,TDF2,5000,6,0.114505
ellip,double,DF1,1000,8,0.760230
ellip,double,DF2,1000,8,0.520219
ellip,double,TDF2,1000,8,0.131222
ellip,float,DF1,1000,8,0.754310
ellip,float,DF2,1000,8,0.684243
ellip,float,TDF2,1000,8,0.130051
ellip,double,DF1,2000,8,0.759099
ellip,double,DF2,2000,8,0.520554
ellip,double,TDF2,2000,8,0.133606
ellip,float,DF1,2000,8,0.753892
ellip,float,DF2,2000,8,0.682867
ellip,float,TDF2,2000,8,0.129883
ellip,double,DF1,5000,8,0.760011
ellip,double,DF2,5000,8,0.519519
ellip,double,TDF2,5000,8,0.131865
ellip,float,DF1,5000,8,0.753556
ellip,float,DF2,5000,8,0.683222
ellip,float,TDF2,5000,8,0.130311
bessel,double,DF1,1000,2,0.205916
bessel,double,DF2,1000,2,0.230891
bessel,double,TDF2,1000,2,0.136978
bessel,float,DF1,1000,2,0.201958
bessel,float,DF2,1000,2,0.224729
bessel,float,TDF2,1000,2,0.137552
bessel,double,DF1,2000,2,0.206320
bessel,double,DF2,2000,2,0.231447
bessel,double,TDF2,2000,2,0.137583
bessel,float,DF1,2000,2,0.203875
bessel,float,DF2,2000,2,0.225106
bessel,float,TDF2,2000,2,0.137590
bessel,double,DF1,5000,2,0.206731
bessel,double,DF2,5000,2,0.231299
bessel,double,TDF2,5000,2,0.137450
bessel,float,DF1,5000,2,0.200362
bessel,float,DF2,5000,2,0.225027
bessel,float,TDF2,5000,2,0.137128
bessel,double,DF1,1000,4,0.380841
bessel,double,DF2,1000,4,0.325941
bessel,double,TDF2,1000,4,0.121709
bessel,float,DF1,1000,4,0.383322
bessel,float,DF2,1000,4,0.386606
bessel,float,TDF2,1000,4,0.121619
bessel,double,DF1,2000,4,0.380017
bessel,double,DF2,2000,4,0.324721
bessel,double,TDF2,2000,4,0.120824
bessel,float,DF1,2000,4,0.382240
bessel,float,DF2,2000,4,0.386283
bessel,float,TDF2,2000,4,0.120794
bessel,double,DF1,5000,4,0.383119
bessel,double,DF2,5000,4,0.324739
bessel,double,TDF2,5000,4,0.121017
bessel,float,DF1,5000,4,0.383002
bessel,float,DF2,5000,4,0.387292
bessel,float,TDF2,5000,4,0.121556
bessel,double,DF1,1000,6,0.582753
bessel,double,DF2,1000,6,0.421827
bessel,double,TDF2,1000,6,0.115316
bessel,float,DF1,1000,6,0.574594
bessel,float,DF2,1000,6,0.535467
bessel,float,TDF2,1000,6,0.115341
bessel,double,DF1,2000,6,0.584238
bessel,double,DF2,2000,6,0.421044
bessel,double,TDF2,2000,6,0.114713
bessel,float,DF1,2000,6,0.571037
bessel,float,DF2,2000,6,0.533239
bessel,float,TDF2,2000,6,0.114870
bessel,double,DF1,5000,6,0.583565
bessel,double,DF2,5000,6,0.420946
bessel,double,TDF2,5000,6,0.114618
bessel,float,DF1,5000,6,0.571451
bessel,float,DF2,5000,6,0.533062
bessel,float,TDF2,5000,6,0.114290
bessel,double,DF1,1000,8,0.759908
bessel,double,DF2,1000,8,0.522392
bessel,double,TDF2,1000,8,0.131188
bessel,float,DF1,1000,8,0.753951
bessel,float,DF2,1000,8,0.682488
bessel,float,TDF2,1000,8,0.129563
bessel,double,DF1,2000,8,0.760131
bessel,double,DF2,2000,8,0.520364
bessel,double,TDF2,2000,8,0.131044
bessel,float,DF1,2000,8,0.756004
bessel,float,DF2,2000,8,0.685223
bessel,float,TDF2,2000,8,0.130350
bessel,double,DF1,5000,8,0.760655
bessel,double,DF2,5000,8,0.521974
bessel,double,TDF2,5000,8,0.131337
bessel,float,DF1,5000,8,0.752716
bessel,float,DF2,5000,8,0.682979
bessel,float,TDF2,5000,8,0.130642
butter,double,CASCADE,1000,2,0.092958
butter,float,CASCADE,1000,2,0.078287
butter,double,CASCADE,2000,2,0.153043
butter,float,CASCADE,2000,2,0.148544
butter,double,CASCADE,5000,2,0.083630
butter,float,CASCADE,5000,2,0.070117
butter,double,CASCADE,1000,4,0.141573
butter,float,CASCADE,1000,4,0.126973
butter,double,CASCADE,2000,4,0.143489
butter,float,CASCADE,2000,4,0.127323
butter,double,CASCADE,5000,4,0.142015
butter,float,CASCADE,5000,4,0.127089
butter,double,CASCADE,1000,6,0.200858
butter,float,CASCADE,1000,6,0.184584
butter,double,CASCADE,2000,6,0.201211
butter,float,CASCADE,2000,6,0.184631
butter,double,CASCADE,5000,6,0.201004
butter,float,CASCADE,5000,6,0.184023
butter,double,CASCADE,1000,8,0.259174
butter,float,CASCADE,1000,8,0.241966
butter,double,CASCADE,2000,8,0.259772
butter,float,CASCADE,2000,8,0.242158
butter,double,CASCADE,5000,8,0.259457
butter,float,CASCADE,5000,8,0.242033
cheby1,double,CASCADE,1000,2,0.083444
cheby1,float,CASCADE,1000,2,0.069672
cheby1,double,CASCADE,2000,2,0.083483
cheby1,float,CASCADE,2000,2,0.069832
cheby1,double,CASCADE,5000,2,0.083629
cheby1,float,CASCADE,5000,2,0.069558
cheby1,double,CASCADE,1000,4,0.141647
cheby1,float,CASCADE,1000,4,0.127349
cheby1,double,CASCADE,2000,4,0.141893
cheby1,float,CASCADE,2000,4,0.127518
cheby1,double,CASCADE,5000,4,0.142515
cheby1,float,CASCADE,5000,4,0.129494
cheby1,double,CASCADE,1000,6,0.200627
cheby1,float,CASCADE,1000,6,0.186158
cheby1,double,CASCADE,2000,6,0.200470
cheby1,float,CASCADE,2000,6,0.184343
cheby1,double,CASCADE,5000,6,0.201514
cheby1,float,CASCADE,5000,6,0.184028
cheby1,double,CASCADE,1000,8,0.258966
