filter_name,type,structure,cutoff,order,time_seconds
cheby1,double,DF1,5000,4,0.706000
cheby1,double,DF2,5000,4,0.741000
cheby1,double,TDF2,5000,4,0.288000
cheby1,double,CASCADE,5000,4,0.288000
cheby1,float,DF1,5000,4,0.700000
cheby1,float,DF2,5000,4,0.706000
cheby1,float,TDF2,5000,4,0.329000
cheby1,float,CASCADE,5000,4,0.329000
cheby1,double,DF1,1000,6,1.016000
cheby1,double,DF2,1000,6,1.118000
cheby1,double,TDF2,1000,6,0.413000
cheby1,double,CASCADE,1000,6,0.413000
cheby1,float,DF1,1000,6,1.010000
cheby1,float,DF2,1000,6,1.108000
cheby1,float,TDF2,1000,6,0.459000
cheby1,float,CASCADE,1000,6,0.459000
cheby1,double,DF1,2000,6,1.014000
cheby1,double,DF2,2000,6,1.117000
cheby1,double,TDF2,2000,6,0.413000
cheby1,double,CASCADE,2000,6,0.413000
cheby1,float,DF1,2000,6,1.017000
cheby1,float,DF2,2000,6,1.107000
cheby1,float,TDF2,2000,6,0.457000
cheby1,float,CASCADE,2000,6,0.457000
cheby1,double,DF1,5000,6,1.051000
cheby1,double,DF2,5000,6,1.116000
cheby1,double,TDF2,5000,6,0.413000
cheby1,double,CASCADE,5000,6,0.413000
cheby1,float,DF1,5000,6,1.013000
cheby1,float,DF2,5000,6,1.108000
cheby1,float,TDF2,5000,6,0.459000
cheby1,float,CASCADE,5000,6,0.459000
cheby1,double,DF1,1000,8,1.423000
cheby1,double,DF2,1000,8,1.541000
cheby1,double,TDF2,1000,8,0.540000
cheby1,double,CASCADE,1000,8,0.540000
cheby1,float,DF1,1000,8,1.369000
cheby1,float,DF2,1000,8,1.511000
cheby1,float,TDF2,1000,8,0.639000
cheby1,float,CASCADE,1000,8,0.639000
cheby1,double,DF1,2000,8,1.426000
cheby1,double,DF2,2000,8,1.541000
cheby1,double,TDF2,2000,8,0.544000
cheby1,double,CASCADE,2000,8,0.544000
cheby1,float,DF1,2000,8,1.372000
cheby1,float,DF2,2000,8,1.518000
cheby1,float,TDF2,2000,8,0.642000
cheby1,float,CASCADE,2000,8,0.642000
cheby1,double,DF1,5000,8,1.426000
cheby1,double,DF2,5000,8,1.540000
cheby1,double,TDF2,5000,8,0.538000
cheby1,double,CASCADE,5000,8,0.538000
cheby1,float,DF1,5000,8,1.376000
cheby1,float,DF2,5000,8,1.511000
cheby1,float,TDF2,5000,8,0.637000
cheby1,float,CASCADE,5000,8,0.637000
cheby2,double,DF1,1000,2,0.422000
cheby2,double,DF2,1000,2,0.414000
cheby2,double,TDF2,1000,2,0.198000
cheby2,double,CASCADE,1000,2,0.198000
cheby2,float,DF1,1000,2,0.377000
cheby2,float,DF2,1000,2,0.379000
cheby2,float,TDF2,1000,2,0.182000
cheby2,float,CASCADE,1000,2,0.182000
cheby2,double,DF1,2000,2,0.414000
cheby2,double,DF2,2000,2,0.413000
cheby2,double,TDF2,2000,2,0.198000
cheby2,double,CASCADE,2000,2,0.198000
cheby2,float,DF1,2000,2,0.379000
cheby2,float,DF2,2000,2,0.381000
cheby2,float,TDF2,2000,2,0.182000
cheby2,float,CASCADE,2000,2,0.182000
cheby2,double,DF1,5000,2,0.413000
cheby2,double,DF2,5000,2,0.413000
cheby2,double,TDF2,5000,2,0.198000
cheby2,double,CASCADE,5000,2,0.198000
cheby2,float,DF1,5000,2,0.377000
cheby2,float,DF2,5000,2,0.377000
cheby2,float,TDF2,5000,2,0.182000
cheby2,float,CASCADE,5000,2,0.182000
cheby2,double,DF1,1000,4,0.739000
cheby2,double,DF2,1000,4,0.740000
cheby2,double,TDF2,1000,4,0.289000
cheby2,double,CASCADE,1000,4,0.289000
cheby2,float,DF1,1000,4,0.693000
cheby2,float,DF2,1000,4,0.707000
cheby2,float,TDF2,1000,4,0.334000
cheby2,float,CASCADE,1000,4,0.334000
cheby2,double,DF1,2000,4,0.719000
cheby2,double,DF2,2000,4,0.740000
cheby2,double,TDF2,2000,4,0.289000
cheby2,double,CASCADE,2000,4,0.289000
cheby2,float,DF1,2000,4,0.698000
cheby2,float,DF2,2000,4,0.707000
cheby2,float,TDF2,2000,4,0.328000
cheby2,float,CASCADE,2000,4,0.328000
cheby2,double,DF1,5000,4,0.705000
cheby2,double,DF2,5000,4,0.739000
