filter_name,type,structure,cutoff,order,signal,MAE
cheby1,float,DF1,2000,6,rand,8.08980390e-02
cheby1,float,DF2,2000,6,impulse,2.42809048e-05
cheby1,float,DF2,2000,6,rand,1.63597792e-01
cheby1,float,TDF2,2000,6,impulse,1.94845262e-05
cheby1,float,TDF2,2000,6,rand,1.48734713e-01
cheby1,float,DF1,5000,6,impulse,1.44103572e-07
cheby1,float,DF1,5000,6,rand,3.18316635e-01
cheby1,float,DF2,5000,6,impulse,1.44952510e-07
cheby1,float,DF2,5000,6,rand,2.51291131e-01
cheby1,float,TDF2,5000,6,impulse,1.43897375e-07
cheby1,float,TDF2,5000,6,rand,3.10016267e-01
cheby1,float,DF1,1000,8,impulse,NaN
cheby1,float,DF1,1000,8,rand,8.03607316e+01
cheby1,float,DF2,1000,8,impulse,NaN
cheby1,float,DF2,1000,8,rand,3.39632062e+01
cheby1,float,TDF2,1000,8,impulse,NaN
cheby1,float,TDF2,1000,8,rand,9.95169996e+01
cheby1,float,DF1,2000,8,impulse,6.69634337e+28
cheby1,float,DF1,2000,8,rand,1.35834516e-01
cheby1,float,DF2,2000,8,impulse,3.82306492e+27
cheby1,float,DF2,2000,8,rand,1.27857801e-01
cheby1,float,TDF2,2000,8,impulse,7.74592044e+31
cheby1,float,TDF2,2000,8,rand,1.84161403e-01
cheby1,float,DF1,5000,8,impulse,6.27878653e-06
cheby1,float,DF1,5000,8,rand,2.80666200e-01
cheby1,float,DF2,5000,8,impulse,6.16144007e-06
cheby1,float,DF2,5000,8,rand,2.61376200e-01
cheby1,float,TDF2,5000,8,impulse,6.81436580e-06
cheby1,float,TDF2,5000,8,rand,2.93528375e-01
cheby2,float,DF1,1000,2,impulse,5.93211812e-10
cheby2,float,DF1,1000,2,rand,5.49707666e-01
cheby2,float,DF2,1000,2,impulse,1.23457871e-09
cheby2,float,DF2,1000,2,rand,5.08404517e-01
cheby2,float,TDF2,1000,2,impulse,5.93211811e-10
cheby2,float,TDF2,1000,2,rand,4.50293123e-01
cheby2,float,DF1,2000,2,impulse,4.64575810e-10
cheby2,float,DF1,2000,2,rand,4.72819773e-01
cheby2,float,DF2,2000,2,impulse,3.39673522e-10
cheby2,float,DF2,2000,2,rand,4.61077695e-01
cheby2,float,TDF2,2000,2,impulse,4.64575810e-10
cheby2,float,TDF2,2000,2,rand,5.77322879e-01
cheby2,float,DF1,5000,2,impulse,3.61871521e-11
cheby2,float,DF1,5000,2,rand,4.16672347e-01
cheby2,float,DF2,5000,2,impulse,3.72324871e-11
cheby2,float,DF2,5000,2,rand,5.09273246e-01
cheby2,float,TDF2,5000,2,impulse,3.61871521e-11
cheby2,float,TDF2,5000,2,rand,5.15772510e-01
cheby2,float,DF1,1000,4,impulse,7.85866257e-07
cheby2,float,DF1,1000,4,rand,5.52431687e-01
cheby2,float,DF2,1000,4,impulse,7.35057467e-07
cheby2,float,DF2,1000,4,rand,4.99281739e-01
cheby2,float,TDF2,1000,4,impulse,8.97285070e-07
cheby2,float,TDF2,1000,4,rand,5.41835525e-01
cheby2,float,DF1,2000,4,impulse,3.64178433e-08
cheby2,float,DF1,2000,4,rand,4.61777953e-01
cheby2,float,DF2,2000,4,impulse,2.32274641e-08
cheby2,float,DF2,2000,4,rand,4.52685759e-01
cheby2,float,TDF2,2000,4,impulse,2.46282558e-08
cheby2,float,TDF2,2000,4,rand,5.32956266e-01
cheby2,float,DF1,5000,4,impulse,8.18463767e-10
cheby2,float,DF1,5000,4,rand,5.79118417e-01
cheby2,float,DF2,5000,4,impulse,5.16747260e-10
cheby2,float,DF2,5000,4,rand,4.89248296e-01
cheby2,float,TDF2,5000,4,impulse,3.31454927e-10
cheby2,float,TDF2,5000,4,rand,4.82839062e-01
cheby2,float,DF1,1000,6,impulse,4.09667051e-05
cheby2,float,DF1,1000,6,rand,4.83572402e-01
cheby2,float,DF2,1000,6,impulse,8.97964388e-05
cheby2,float,DF2,1000,6,rand,4.44882427e-01
cheby2,float,TDF2,1000,6,impulse,7.21054022e-05
cheby2,float,TDF2,1000,6,rand,4.12185066e-01
cheby2,float,DF1,2000,6,impulse,5.10651239e-07
cheby2,float,DF1,2000,6,rand,4.34703330e-01
cheby2,float,DF2,2000,6,impulse,1.23377138e-06
cheby2,float,DF2,2000,6,rand,4.51953765e-01
cheby2,float,TDF2,2000,6,impulse,7.80729489e-07
cheby2,float,TDF2,2000,6,rand,4.33833438e-01
cheby2,float,DF1,5000,6,impulse,7.12463644e-09
cheby2,float,DF1,5000,6,rand,4.89942622e-01
cheby2,float,DF2,5000,6,impulse,4.66675712e-09
cheby2,float,DF2,5000,6,rand,5.19545544e-01
cheby2,float,TDF2,5000,6,impulse,4.74132216e-09
cheby2,float,TDF2,5000,6,rand,4.82906005e-01
cheby2,float,DF1,1000,8,impulse,NaN
cheby2,float,DF1,1000,8,rand,1.62510407e+00
cheby2,float,DF2,1000,8,impulse,NaN
cheby2,float,DF2,1000,8,rand,2.34381308e+00
cheby2,float,TDF2,1000,8,impulse,NaN
cheby2,float,TDF2,1000,8,rand,4.62089349e+00
cheby2,float,DF1,2000,8,impulse,7.52680299e-05
cheby2,float,DF1,2000,8,rand,4.29294747e-01
cheby2,float,DF2,2000,8,impulse,7.72796414e-05
cheby2,float,DF2,2000,8,rand,4.73246234e-01
cheby2,float,TDF2,2000,8,impulse,1.02260296e-04
cheby2,float,TDF2,2000,8,rand,4.32090815e-01
cheby2,float,DF1,5000,8,impulse,4.65781691e-08
cheby2,float,DF1,5000,8,rand,4.79764858e-01
cheby2,float,DF2,5000,8,impulse,5.54440835e-08
cheby2,float,DF2,5000,8,rand,4.56279078e-01
cheby2,float,TDF2,5000,8,impulse,6.07411387e-08
cheby2,float,TDF2,5000,8,rand,4.56894704e-01
ellip,float,DF1,1000,2,impulse,9.43313704e-10
ellip,float,DF1,1000,2,rand,1.31998148e-01
ellip,float,DF2,1000,2,impulse,7.21159666e-10
ellip,float,DF2,1000,2,rand,1.50206056e-01
ellip,float,TDF2,1000,2,impulse,8.87237671e-10
ellip,float,TDF2,1000,2,rand,1.91020863e-01
ellip,float,DF1,2000,2,impulse,7.40340692e-11
ellip,float,DF1,2000,2,rand,1.86096563e-01
ellip,float,DF2,2000,2,impulse,1.64074284e-10
