filter_type,order,cutoff,structure,signal,dtype,MAE
butter,4,5000,TDF2,random,float16,0.0006990190103461576
butter,4,5000,CASCADE,random,float32,1.423038999892037e-08
butter,4,5000,CASCADE,random,float16,0.00020026347909063853
butter,6,1000,DF1,impulse,float32,4.287716846901867e-05
butter,6,1000,DF1,impulse,float16,nan
butter,6,1000,DF2,impulse,float32,4.2877168492667995e-05
butter,6,1000,DF2,impulse,float16,nan
butter,6,1000,TDF2,impulse,float32,4.2877168427205366e-05
butter,6,1000,TDF2,impulse,float16,nan
butter,6,1000,CASCADE,impulse,float32,2.8562238638727758e-09
butter,6,1000,CASCADE,impulse,float16,1.1527377144283004e-05
butter,6,1000,DF1,random,float32,0.0023678366637312344
butter,6,1000,DF1,random,float16,2435270.5615700227
butter,6,1000,DF2,random,float32,0.0015031136104053473
butter,6,1000,DF2,random,float16,1334129.80307706
butter,6,1000,TDF2,random,float32,0.0015031128328023952
butter,6,1000,TDF2,random,float16,1264409.7329849892
butter,6,1000,CASCADE,random,float32,1.5140139382445345e-07
butter,6,1000,CASCADE,random,float16,0.0013095510284362032
butter,6,2000,DF1,impulse,float32,4.958181219745912e-07
butter,6,2000,DF1,impulse,float16,1.3432791076027525e+156
butter,6,2000,DF2,impulse,float32,4.958181208982677e-07
butter,6,2000,DF2,impulse,float16,1.3432791076071743e+156
butter,6,2000,TDF2,impulse,float32,4.958181226986895e-07
butter,6,2000,TDF2,impulse,float16,1.3432791075986525e+156
butter,6,2000,CASCADE,impulse,float32,2.328676745147448e-10
butter,6,2000,CASCADE,impulse,float16,1.3970638196756836e-06
butter,6,2000,DF1,random,float32,8.4934216469303e-05
butter,6,2000,DF1,random,float16,8.877637240799771
butter,6,2000,DF2,random,float32,8.797115862326691e-05
butter,6,2000,DF2,random,float16,14.252936525613672
butter,6,2000,TDF2,random,float32,8.797105512624664e-05
butter,6,2000,TDF2,random,float16,14.245543757562901
butter,6,2000,CASCADE,random,float32,4.876434648225139e-08
butter,6,2000,CASCADE,random,float16,0.00022909021412297731
butter,6,5000,DF1,impulse,float32,9.697513590180052e-09
butter,6,5000,DF1,impulse,float16,1.0546015586572169e-05
butter,6,5000,DF2,impulse,float32,9.69751359551953e-09
butter,6,5000,DF2,impulse,float16,1.0546015586572325e-05
