filter_name,type,structure,cutoff,order,signal,MAE
cheby1,float,TDF2,5000,2,impulse,6.51816702e-11
cheby1,float,TDF2,5000,2,rand,5.65228731e-08
cheby1,float,CASCADE,5000,2,impulse,6.95371408e-11
cheby1,float,CASCADE,5000,2,rand,4.45112072e-08
cheby1,float,DF1,1000,4,impulse,5.76274910e-07
cheby1,float,DF1,1000,4,rand,1.27643815e-04
cheby1,float,DF2,1000,4,impulse,1.15031734e-06
cheby1,float,DF2,1000,4,rand,4.86485587e-05
cheby1,float,TDF2,1000,4,impulse,7.31972968e-07
cheby1,float,TDF2,1000,4,rand,8.98794669e-05
cheby1,float,CASCADE,1000,4,impulse,5.85928605e-07
cheby1,float,CASCADE,1000,4,rand,6.61521012e-05
cheby1,float,DF1,2000,4,impulse,1.20025040e-07
cheby1,float,DF1,2000,4,rand,1.66331884e-05
cheby1,float,DF2,2000,4,impulse,1.13415514e-07
cheby1,float,DF2,2000,4,rand,2.52618093e-05
cheby1,float,TDF2,2000,4,impulse,1.11698479e-07
cheby1,float,TDF2,2000,4,rand,2.52955932e-05
cheby1,float,CASCADE,2000,4,impulse,1.15582455e-07
cheby1,float,CASCADE,2000,4,rand,2.12585412e-05
cheby1,float,DF1,5000,4,impulse,2.91321630e-09
cheby1,float,DF1,5000,4,rand,9.47686901e-07
cheby1,float,DF2,5000,4,impulse,1.25254201e-09
cheby1,float,DF2,5000,4,rand,9.22636789e-07
cheby1,float,TDF2,5000,4,impulse,1.91268087e-09
cheby1,float,TDF2,5000,4,rand,7.35065778e-07
cheby1,float,CASCADE,5000,4,impulse,1.42214313e-09
cheby1,float,CASCADE,5000,4,rand,5.47438590e-07
cheby1,float,DF1,1000,6,impulse,8.64008566e+32
cheby1,float,DF1,1000,6,rand,8.34648325e-02
cheby1,float,DF2,1000,6,impulse,nan
cheby1,float,DF2,1000,6,rand,3.34208129e-02
cheby1,float,TDF2,1000,6,impulse,2.16202319e+33
cheby1,float,TDF2,1000,6,rand,9.62296362e-02
cheby1,float,CASCADE,1000,6,impulse,3.86247398e+32
cheby1,float,CASCADE,1000,6,rand,5.56006983e-02
cheby1,float,DF1,2000,6,impulse,2.00908642e-05
cheby1,float,DF1,2000,6,rand,4.02238821e-03
cheby1,float,DF2,2000,6,impulse,2.42809048e-05
cheby1,float,DF2,2000,6,rand,3.54399108e-03
cheby1,float,TDF2,2000,6,impulse,1.94845262e-05
cheby1,float,TDF2,2000,6,rand,1.81795899e-03
cheby1,float,CASCADE,2000,6,impulse,1.99490092e-05
cheby1,float,CASCADE,2000,6,rand,2.98683676e-03
cheby1,float,DF1,5000,6,impulse,1.44103572e-07
cheby1,float,DF1,5000,6,rand,4.93879203e-05
cheby1,float,DF2,5000,6,impulse,1.44952510e-07
cheby1,float,DF2,5000,6,rand,3.47487505e-05
cheby1,float,TDF2,5000,6,impulse,1.43897375e-07
cheby1,float,TDF2,5000,6,rand,3.63707423e-05
cheby1,float,CASCADE,5000,6,impulse,1.52705085e-07
cheby1,float,CASCADE,5000,6,rand,3.30207393e-05
cheby1,float,DF1,1000,8,impulse,nan
cheby1,float,DF1,1000,8,rand,2.26471223e+01
